"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","2471","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","2489","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","2485","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","3161","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","3458","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","3749","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953292","2.2","3678","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","3347","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","3134","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","3402","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","3513","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","3057","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","2789","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953293","2.3","2736","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2852","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2813","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2667","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","3192","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2422","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2495","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953294","2.4","2448","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","2883","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","2846","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","2824","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","3255","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","3566","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","3549","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953295","2.5","3483","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953296","2.6","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953296","2.6","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953296","2.6","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953296","2.6","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953296","2.6","","..","","","0"
