"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","3046","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","2837","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","2768","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","2781","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","2708","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","2943","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","3076","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953050","2.2","3147","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","2769","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","2893","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","2830","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","2799","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","2706","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","3073","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","3146","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953051","2.3","3215","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953052","2.4","2769","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953052","2.4","2845","","","","0"
