"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","5161","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","4967","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953784","2.2","4874","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","3772","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","3631","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953785","2.3","3563","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","3772","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","3631","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953786","2.4","3563","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953787","2.5","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953787","2.5","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953787","2.5","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953787","2.5","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953787","2.5","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953787","2.5","5161","","","","0"
