"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","10511","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","13125","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","13029","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","12606","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","16820","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","16827","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Education","Constant dollars","370","units","0","v1411953553","2.2","17173","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","12164","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","11932","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953554","2.3","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","12164","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","11932","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Humanities","Constant dollars","370","units","0","v1411953555","2.4","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","12164","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","11932","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953556","2.5","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Law","Constant dollars","370","units","0","v1411953557","2.6","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","10511","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","13381","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","13125","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","13029","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","12606","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","16820","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","16827","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953558","2.7","17173","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","12164","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","11932","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953559","2.8","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","12164","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","11932","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953560","2.9","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","10511","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","13381","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","13125","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","13029","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","12606","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","16820","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","16827","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953561","2.10","17173","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953562","2.11","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","12164","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","11932","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953563","2.12","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953564","2.13","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953564","2.13","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953564","2.13","","..","","","0"
